Tratamentos,COL, S, N,H,1-Lambda',    d
CERRADO,1,9,15,1.952,0.8762,2.954
CERRADO,2,10,12,2.254,0.9697,3.622
CERRADO,3,6,7,1.748,0.9524,2.569
CERRADO,4,5,6,1.561,0.9333,2.232
CERRADO,5,4,4,1.386,1,2.164
CERRADO,6,10,19,2.187,0.924,3.057
CERRADO,7,8,10,2.025,0.9556,3.04
CERRADO,8,5,5,1.609,1,2.485
CERRADO,9,4,6,1.33,0.8667,1.674
CERRADO,10,1,3,0,0,0
MATA,1,14,17,2.507,0.9559,4.588
MATA,2,3,4,1.04,0.8333,1.443
MATA,3,10,12,2.254,0.9697,3.622
MATA,4,5,9,1.427,0.8056,1.82
MATA,5,5,6,1.561,0.9333,2.232
MATA,6,8,12,1.907,0.8939,2.817
MATA,7,6,16,1.63,0.8333,1.803
MATA,8,5,5,1.609,1,2.485
MATA,9,3,4,1.04,0.8333,1.443
MATA,10,11,19,2.132,0.8889,3.396
MATA,11,4,11,0.8856,0.4909,1.251
